MostLikelyStateName,count,mean,median,std,min,max
OOF,261,5.268199233716475,4.0,5.1205566305146055,0,23
NF,109,21.0,18.0,13.726832334006486,0,95
HF,253,51.85375494071146,45.0,31.310249154459168,3,210
