PlayerID,Player,stan_player_index,player_random_effect_u_mean,OOF_probability,NF_probability,HF_probability,OOF_percentage,NF_percentage,HF_percentage,most_likely_state,OOF_flag_70_threshold,StartDate,FinalScore,Location,OpponentRank,RestDays
5,BKG Mendis,1,0.0822296717133207,0.12961624962308924,0.42976322887650004,0.4406205214634151,12.961624962308923,42.97632288765001,44.062052146341514,HF,False,2025-11-16,34,Away,4,1
7,C Karunaratne,2,-0.049679131440644,0.80117049961525,0.16368762514502502,0.035141875343985406,80.117049961525,16.368762514502503,3.5141875343985407,OOF,True,2023-11-09,6,Neutral,5,23
9,CAK Rajitha,3,-0.22998320350169627,0.9845814600799999,0.014600330467136,0.0008182094715672463,98.45814600799999,1.4600330467136,0.08182094715672462,OOF,True,2023-11-06,0,Neutral,8,3
10,CBRLS Kumara,4,-0.16357200140240552,0.39902152437300004,0.264721462105075,0.336257013506475,39.9021524373,26.472146210507503,33.6257013506475,OOF,False,2025-01-05,1,Away,5,292
13,DM de Silva,5,-0.04929555995448225,0.20517581113585498,0.5755349585045,0.21928923049842053,20.517581113585496,57.55349585045,21.92892304984205,NF,False,2023-11-09,19,Neutral,5,2
14,DN Wellalage,6,-0.06904449427509375,0.8938394782375,0.088839438034055,0.017321083698999623,89.38394782374999,8.8839438034055,1.7321083698999624,OOF,True,2025-07-08,6,Home,9,2
16,FDM Karunaratne,7,-0.0015689648374271243,0.9818669837300001,0.017212029720660722,0.0009209865945208341,98.18669837300001,1.7212029720660722,0.09209865945208341,OOF,True,2023-11-02,0,Away,1,2
18,J Liyanage,8,0.21518259608887724,0.832038052365,0.14377365185625973,0.02418829578907984,83.20380523649999,14.377365185625973,2.4188295789079843,OOF,True,2025-11-16,4,Away,4,1
21,KIC Asalanka,9,0.13618087697018158,0.7660725413212499,0.203058856685065,0.030868602045745187,76.607254132125,20.305885668506498,3.086860204574519,OOF,True,2025-11-14,6,Away,4,2
28,M Theekshana,10,-0.2198527133730264,0.50798441340675,0.35649857276325,0.1355170138454216,50.798441340675005,35.649857276325,13.551701384542161,OOF,False,2025-11-16,7,Away,4,4
31,MD Shanaka,11,-0.19127053755582418,0.7865425597305,0.1866302016575325,0.026827238657202563,78.65425597305,18.66302016575325,2.682723865720256,OOF,True,2024-01-08,7,Home,11,1
32,MDKJ Perera,12,0.040460097499943205,0.10588152962851276,0.2942271799404875,0.5998912904284036,10.588152962851275,29.422717994048753,59.98912904284036,HF,False,2023-11-09,51,Neutral,5,2
38,P Nissanka,13,0.0766244290740445,0.15398759402668,0.5424503049682501,0.3035621010320167,15.398759402668,54.24503049682501,30.35621010320167,NF,False,2025-11-16,24,Away,4,1
42,PHKD Mendis,14,0.02188805063777086,0.387632478132475,0.46975106157025004,0.14261646022571023,38.763247813247496,46.975106157025,14.261646022571023,NF,False,2025-11-16,10,Away,4,1
43,PVD Chameera,15,-0.30263250088537175,0.96689627894,0.03140697581884164,0.001696745195962015,96.689627894,3.140697581884164,0.1696745195962015,OOF,True,2025-11-14,0,Away,4,2
44,PW Hasaranga,16,0.0024282110082874996,0.06203168161923965,0.3091814978822325,0.628786820636,6.203168161923965,30.918149788223246,62.8786820636,HF,False,2025-11-14,37,Away,4,2
49,S Samarawickrama,17,0.02083060570209225,0.05918032623881993,0.32765337530703753,0.6131662984561108,5.9180326238819925,32.76533753070375,61.31662984561108,HF,False,2025-11-16,48,Away,4,1
51,WIA Fernando,18,0.02549838472649325,0.9610133896474999,0.03692213396818475,0.0020644763699758364,96.10133896475,3.692213396818475,0.20644763699758364,OOF,True,2025-02-12,1,Home,2,31
