Player,Location,Opposition,OppositionTeam,NotOut,FinalScore,StartDate,PlayerID,RestDays,Innings,DateYYYYMMDD,OpponentRank,RankDateUsed,y_log_runs,OppStrength,Home,Away,OppStrengthZ,RestDaysZ,InningsZ,PlayerIndex,P_OOF,P_NF,P_HF
BKG Mendis,Away,v Bangladesh, Bangladesh,0,15,2021-05-25,5,1,1,20210525,7,20210525,2.772588722239781,-7.0,0,1,-0.034355772528196146,-0.3907950422997909,-1.2341866570004438,1,0.11018426853600001,0.8021553701,0.08766036112531998
BKG Mendis,Away,v Bangladesh, Bangladesh,0,22,2021-05-28,5,2,2,20210528,7,20210528,3.1354942159291497,-7.0,0,1,-0.034355772528196146,-0.37900666717981946,-1.1785419698307178,1,0.095689151013,0.6373822775,0.26692857133887
BKG Mendis,Home,v Zimbabwe, Zimbabwe,0,26,2022-01-16,5,232,3,20220116,14,20220116,3.295836866004329,-14.0,1,0,-1.7970089960042364,2.3323196104136072,-1.1228972826609915,1,0.17562280551999998,0.6053635029999999,0.21901369186286396
BKG Mendis,Home,v Zimbabwe, Zimbabwe,0,7,2022-01-18,5,1,4,20220118,14,20220118,2.0794415416798357,-14.0,1,0,-1.7970089960042364,-0.3907950422997909,-1.0672525954912653,1,0.7873304444,0.19967621079700001,0.012993343958708103
BKG Mendis,Home,v Zimbabwe, Zimbabwe,0,36,2022-01-21,5,2,5,20220121,14,20220121,3.6109179126442243,-14.0,1,0,-1.7970089960042364,-0.37900666717981946,-1.011607908321539,1,0.2350937881,0.42116859382,0.34373761868522995
BKG Mendis,Home,v Australia, Australia,1,86,2022-06-14,5,143,6,20220614,3,20220614,4.465908118654584,-3.0,1,0,0.972874640886684,1.2831542247361507,-0.955963221151813,1,0.0844878360499,0.297201231241,0.6183109327
BKG Mendis,Home,v Australia, Australia,0,36,2022-06-16,5,1,7,20220616,4,20220616,3.6109179126442243,-4.0,1,0,0.721067037532964,-0.3907950422997909,-0.9003185339820867,1,0.11890515096999998,0.36518514646,0.5159097026039
BKG Mendis,Home,v Australia, Australia,1,87,2022-06-19,5,2,8,20220619,5,20220619,4.477336814478207,-5.0,1,0,0.46925943417924393,-0.37900666717981946,-0.8446738468123606,1,0.0736492751131,0.27303270710379995,0.6533180175
BKG Mendis,Home,v Australia, Australia,0,14,2022-06-21,5,1,9,20220621,5,20220621,2.70805020110221,-5.0,1,0,0.46925943417924393,-0.3907950422997909,-0.7890291596426343,1,0.44179106261,0.3988091318,0.1593998059317194
BKG Mendis,Home,v Australia, Australia,0,26,2022-06-24,5,2,10,20220624,5,20220624,3.295836866004329,-5.0,1,0,0.46925943417924393,-0.37900666717981946,-0.7333844724729082,1,0.18883016936999997,0.48356281209999996,0.327607018558438
BKG Mendis,Home,v Afghanistan, Afghanistan,0,1,2022-11-25,5,153,11,20221125,9,20221125,0.6931471805599453,-9.0,1,0,-0.5379709792356362,1.4010379759358649,-0.677739785303182,1,0.9725748732000002,0.026409330080090006,0.0010157970917384095
BKG Mendis,Home,v Afghanistan, Afghanistan,1,2,2022-11-27,5,1,12,20221127,9,20221127,1.0986122886681096,-9.0,1,0,-0.5379709792356362,-0.3907950422997909,-0.6220950981334558,1,0.45992695320000004,0.19615090683000003,0.34392214007999994
BKG Mendis,Home,v Afghanistan, Afghanistan,0,67,2022-11-30,5,2,13,20221130,9,20221130,4.219507705176107,-9.0,1,0,-0.5379709792356362,-0.37900666717981946,-0.5664504109637296,1,0.09272341182199999,0.261638419107,0.645638168794
BKG Mendis,Away,v India, India,0,0,2023-01-10,5,40,14,20230110,5,20230110,0.0,-5.0,0,1,0.46925943417924393,0.06895158737909447,-0.5108057237940034,1,0.9886110438,0.010803281135248,0.0005856751055964555
BKG Mendis,Away,v India, India,0,34,2023-01-12,5,1,15,20230112,4,20230112,3.5553480614894135,-4.0,0,1,0.721067037532964,-0.3907950422997909,-0.4551610366242772,1,0.13766759628,0.24197357747100004,0.6203588259999999
BKG Mendis,Away,v India, India,0,4,2023-01-15,5,2,16,20230115,4,20230115,1.6094379124341003,-4.0,0,1,0.721067037532964,-0.37900666717981946,-0.399516349454551,1,0.8573560923999999,0.12162987509399999,0.021014032269725726
BKG Mendis,Away,v New Zealand, New Zealand,0,0,2023-03-25,5,68,17,20230325,3,20230325,0.0,-3.0,0,1,0.972874640886684,0.3990260907382942,-0.3438716622848248,1,0.9914273206,0.008183690622502,0.00038898901613221716
BKG Mendis,Away,v New Zealand, New Zealand,0,0,2023-03-31,5,5,18,20230331,2,20230331,0.0,-2.0,0,1,1.224682244240404,-0.3436415418199052,-0.2882269751150986,1,0.9949014892000001,0.0047541597399176,0.000344350952333416
BKG Mendis,Home,v Afghanistan, Afghanistan,0,11,2023-06-02,5,62,19,20230602,8,20230602,2.4849066497880004,-8.0,1,0,-0.2861633758819162,0.32829584001846573,-0.23258228794537242,1,0.7735136459000002,0.16198737937000002,0.06449897494946398
