Player,InningsCount,MeanScore,MedianScore,StdScore,NotOutRate,FiftyPlusRate,CenturyPlusRate,DuckRate,MeanRestDays,MeanOpponentRank
P Nissanka,73,38.56164383561644,29.0,39.52776320419536,0.0684931506849315,0.3287671232876712,0.0958904109589041,0.0821917808219178,22.45205479452055,7.205479452054795
KIC Asalanka,71,37.45070422535211,25.0,34.19180717757414,0.14084507042253522,0.30985915492957744,0.07042253521126761,0.056338028169014086,21.52112676056338,6.901408450704225
J Liyanage,25,35.44,24.0,27.997142711355387,0.24,0.32,0.04,0.0,26.2,6.32
BKG Mendis,73,35.06849315068493,25.0,33.82156148537467,0.1232876712328767,0.2876712328767123,0.0547945205479452,0.0684931506849315,21.438356164383563,7.315068493150685
FDM Karunaratne,18,32.27777777777778,30.5,30.296195753331524,0.1111111111111111,0.3333333333333333,0.05555555555555555,0.05555555555555555,52.72222222222222,9.833333333333334
S Samarawickrama,42,30.333333333333332,21.0,28.553472871231097,0.11904761904761904,0.19047619047619047,0.023809523809523808,0.07142857142857142,20.333333333333332,7.571428571428571
WIA Fernando,31,30.129032258064516,10.0,35.933032097207224,0.0,0.25806451612903225,0.06451612903225806,0.0967741935483871,41.645161290322584,6.032258064516129
MDKJ Perera,14,27.285714285714285,8.0,37.88937048308398,0.0,0.2857142857142857,0.07142857142857142,0.21428571428571427,63.285714285714285,5.142857142857143
DM de Silva,39,24.641025641025642,16.0,22.876656890798643,0.07692307692307693,0.1282051282051282,0.0,0.02564102564102564,22.076923076923077,6.641025641025641
PW Hasaranga,42,22.214285714285715,18.0,20.140404377810842,0.14285714285714285,0.11904761904761904,0.0,0.023809523809523808,39.714285714285715,6.761904761904762
PHKD Mendis,23,21.782608695652176,16.0,20.393752434015692,0.21739130434782608,0.13043478260869565,0.0,0.13043478260869565,73.43478260869566,7.173913043478261
MD Shanaka,43,18.813953488372093,11.0,24.841646880029327,0.09302325581395349,0.06976744186046512,0.046511627906976744,0.11627906976744186,22.953488372093023,6.953488372093023
C Karunaratne,23,18.782608695652176,14.0,18.083032030907596,0.21739130434782608,0.043478260869565216,0.0,0.043478260869565216,36.52173913043478,5.391304347826087
DN Wellalage,23,15.91304347826087,8.0,17.93653722402774,0.21739130434782608,0.043478260869565216,0.0,0.13043478260869565,47.608695652173914,4.782608695652174
M Theekshana,32,10.4375,6.5,10.746154601050435,0.34375,0.0,0.0,0.125,46.84375,7.375
PVD Chameera,24,8.125,7.0,7.508328708840604,0.25,0.0,0.0,0.125,70.25,6.625
CAK Rajitha,15,7.733333333333333,5.0,8.963948959715296,0.26666666666666666,0.0,0.0,0.2,54.93333333333333,6.133333333333334
CBRLS Kumara,12,3.75,4.0,3.250874008352495,0.3333333333333333,0.0,0.0,0.16666666666666666,63.333333333333336,7.166666666666667
