,count,mean,std,min,25%,50%,75%,max,skew,kurtosis
FinalScore,623.0,26.93900481540931,29.943024196687034,0.0,5.0,15.0,39.0,210.0,1.660986357236966,3.2930044437338726
ScoreLog,623.0,2.6424782394143205,1.3339417126837463,0.0,1.791759469228055,2.772588722239781,3.6888794541139363,5.351858133476067,-0.4343143300569843,-0.7061678473197399
RestDays,623.0,34.15088282504013,84.89749651676557,1.0,2.0,2.0,31.0,925.0,5.872988132865263,46.272693912475184
Innings,623.0,23.179775280898877,17.9856080892947,1.0,9.0,19.0,33.0,73.0,0.9749623530089776,0.16906222851610675
OpponentRank,623.0,6.863563402889246,3.974477030704468,1.0,4.0,5.0,9.0,19.0,0.6855206362347582,-0.03063047347632608
