,FinalScore,ScoreLog,RestDays,Innings,OpponentRank,NotOut
FinalScore,1.0,1.0,-0.030535171322437316,0.09445908893331108,0.14547889636259198,0.1030416138470675
ScoreLog,1.0,1.0,-0.030535171322437316,0.09445908893331108,0.14547889636259198,0.1030416138470675
RestDays,-0.030535171322437316,-0.030535171322437316,1.0,0.03270137916484195,0.021224934837174497,0.02776092548238165
Innings,0.09445908893331108,0.09445908893331108,0.03270137916484195,1.0,0.024006777027496696,-0.10311076086972042
OpponentRank,0.14547889636259198,0.14547889636259198,0.021224934837174497,0.024006777027496696,1.0,0.106725430585962
NotOut,0.1030416138470675,0.1030416138470675,0.02776092548238165,-0.10311076086972042,0.106725430585962,1.0
