Player,Location,Opposition,OppositionTeam,NotOut,FinalScore,StartDate,PlayerID,RestDays,Innings,DateYYYYMMDD,OpponentRank,RankDateUsed,y_log_runs,OppStrength,Home,Away,OppStrengthZ,RestDaysZ,InningsZ,PlayerIndex,P_OOF,P_NF,P_HF,prob_sum,most_likely_state
BKG Mendis,Away,v Bangladesh, Bangladesh,0,15,2021-05-25,5,1,1,20210525,7,20210525,2.772588722239781,-7.0,0,1,-0.0343557725281961,-0.3907950422997909,-1.2341866570004438,1,0.1146032596995775,0.78966859003925,0.0957281503252816,1.0000000000641092,NF
BKG Mendis,Away,v Bangladesh, Bangladesh,0,22,2021-05-28,5,2,2,20210528,7,20210528,3.1354942159291497,-7.0,0,1,-0.0343557725281961,-0.3790066671798194,-1.1785419698307178,1,0.0965501512231525,0.6661732592542501,0.23727658947062,0.9999999999480226,NF
BKG Mendis,Home,v Zimbabwe, Zimbabwe,0,26,2022-01-16,5,232,3,20220116,14,20220116,3.295836866004329,-14.0,1,0,-1.7970089960042364,2.3323196104136072,-1.1228972826609915,1,0.169496890271855,0.63856785642175,0.191935253236572,0.999999999930177,NF
BKG Mendis,Home,v Zimbabwe, Zimbabwe,0,7,2022-01-18,5,1,4,20220118,14,20220118,2.079441541679836,-14.0,1,0,-1.7970089960042364,-0.3907950422997909,-1.0672525954912653,1,0.761682568625,0.2200089221956,0.0183085090286615,0.9999999998492615,OOF
BKG Mendis,Home,v Zimbabwe, Zimbabwe,0,36,2022-01-21,5,2,5,20220121,14,20220121,3.610917912644224,-14.0,1,0,-1.7970089960042364,-0.3790066671798194,-1.011607908321539,1,0.224585371671445,0.484135806126,0.2912788221566152,0.9999999999540601,NF
BKG Mendis,Home,v Australia, Australia,1,86,2022-06-14,5,143,6,20220614,3,20220614,4.465908118654584,-3.0,1,0,0.972874640886684,1.2831542247361507,-0.955963221151813,1,0.0754362897537573,0.3567706327629206,0.567793077507,1.000000000023678,HF
BKG Mendis,Home,v Australia, Australia,0,36,2022-06-16,5,1,7,20220616,4,20220616,3.610917912644224,-4.0,1,0,0.721067037532964,-0.3907950422997909,-0.9003185339820867,1,0.1093485223287559,0.428473235879475,0.4621782417867927,0.9999999999950235,HF
BKG Mendis,Home,v Australia, Australia,1,87,2022-06-19,5,2,8,20220619,5,20220619,4.477336814478207,-5.0,1,0,0.4692594341792439,-0.3790066671798194,-0.8446738468123606,1,0.0635387729762094,0.3254083768773897,0.611052850196125,1.0000000000497242,HF
BKG Mendis,Home,v Australia, Australia,0,14,2022-06-21,5,1,9,20220621,5,20220621,2.70805020110221,-5.0,1,0,0.4692594341792439,-0.3907950422997909,-0.7890291596426343,1,0.41060975091755,0.4362616504467,0.1531285987058472,1.0000000000700973,NF
BKG Mendis,Home,v Australia, Australia,0,26,2022-06-24,5,2,10,20220624,5,20220624,3.295836866004329,-5.0,1,0,0.4692594341792439,-0.3790066671798194,-0.7333844724729082,1,0.17843700759898,0.5402969667459999,0.2812660256568475,1.0000000000018274,NF
